"TOA5","250101","CR800","24913","CR800.Std.32.02","CPU:METEOROLOGICA CR800.CR8","51517","M1440"
"TIMESTAMP","RECORD","TempAire_Max","TempAire_TMx","TempAire_Min","TempAire_TMn","HumRel_Max","HumRel_TMx","HumRel_Min","HumRel_TMn","BattV_Max","BattV_TMx","BattV_Min","BattV_TMn","HR_NEMA_Max","Temp_NEMA_Max"
"TS","RN","Deg C","","Deg C","","%","","%","","Volts","","Volts","","%","Deg C"
"","","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Max","Max"
"2018-03-03 00:00:00",22,31.23,"2018-03-02 11:16:00",20.86,"2018-03-02 02:20:00",100,"2018-03-02 21:13:00",49.99,"2018-03-02 11:34:00",13.24,"2018-03-02 06:26:00",12.78,"2018-03-02 04:23:00",54.67,39.96
"2018-03-04 00:00:00",23,32.19,"2018-03-03 10:50:00",20.48,"2018-03-03 01:51:00",98.7,"2018-03-03 01:35:00",32.28,"2018-03-03 21:26:00",13.24,"2018-03-03 06:32:00",12.78,"2018-03-03 05:52:00",58.25,43.4
"2018-03-05 00:00:00",24,31.5,"2018-03-04 11:02:00",20.46,"2018-03-04 01:14:00",96.6,"2018-03-04 21:53:00",34.23,"2018-03-04 08:16:00",13.24,"2018-03-04 06:31:00",12.78,"2018-03-04 05:42:00",50.89,39.73
"2018-03-06 00:00:00",25,31.72,"2018-03-05 13:19:00",20.71,"2018-03-05 06:15:00",100,"2018-03-05 22:11:00",54.7,"2018-03-05 09:51:00",13.25,"2018-03-05 06:23:00",12.79,"2018-03-05 04:58:00",54.33,40.58
"2018-03-07 00:00:00",26,31.32,"2018-03-06 12:55:00",20.28,"2018-03-06 02:03:00",94.2,"2018-03-06 23:10:00",43.61,"2018-03-06 11:56:00",13.26,"2018-03-06 06:33:00",12.78,"2018-03-06 05:08:00",52.58,40.07
"2018-03-08 00:00:00",27,31.67,"2018-03-07 11:30:00",20.78,"2018-03-07 00:58:00",94.3,"2018-03-07 02:54:00",41,"2018-03-07 08:17:00",13.26,"2018-03-07 06:25:00",12.78,"2018-03-07 05:27:00",55.21,41.36
"2018-03-09 00:00:00",28,32.84,"2018-03-08 12:52:00",21.27,"2018-03-08 02:06:00",96.4,"2018-03-08 23:10:00",48.66,"2018-03-08 07:23:00",13.23,"2018-03-08 06:21:00",12.78,"2018-03-08 04:59:00",55.48,41.86
"2018-03-10 00:00:00",29,31.39,"2018-03-09 11:35:00",21.31,"2018-03-09 03:17:00",100,"2018-03-09 20:32:00",57.6,"2018-03-09 09:56:00",13.25,"2018-03-09 06:40:00",12.77,"2018-03-09 05:21:00",52.48,39.86
"2018-03-11 00:00:00",30,32.22,"2018-03-10 11:47:00",21.36,"2018-03-10 00:56:00",100,"2018-03-10 23:02:00",53.91,"2018-03-10 11:47:00",13.25,"2018-03-10 06:29:00",12.78,"2018-03-10 05:22:00",52.65,40.48
"2018-03-12 00:00:00",31,31.76,"2018-03-11 12:08:00",21.66,"2018-03-11 00:12:00",100,"2018-03-11 00:05:00",60.98,"2018-03-11 10:48:00",13.24,"2018-03-11 06:28:00",12.78,"2018-03-11 05:47:00",51.78,40.11
"2018-03-13 00:00:00",32,30.87,"2018-03-12 15:19:00",21.89,"2018-03-12 02:11:00",100,"2018-03-12 00:01:00",63.2,"2018-03-12 11:18:00",13.24,"2018-03-12 06:31:00",12.79,"2018-03-12 04:57:00",54.61,38.46
"2018-03-14 00:00:00",33,31.68,"2018-03-13 11:15:00",21.84,"2018-03-13 04:15:00",100,"2018-03-13 00:01:00",54.4,"2018-03-13 08:50:00",13.24,"2018-03-13 06:20:00",12.78,"2018-03-13 05:35:00",53.59,39.37
"2018-03-15 00:00:00",34,31.79,"2018-03-14 11:33:00",21.04,"2018-03-14 13:52:00",100,"2018-03-14 13:36:00",57.57,"2018-03-14 11:38:00",13.24,"2018-03-14 06:54:00",12.79,"2018-03-14 05:17:00",61.37,40.23
"2018-03-16 00:00:00",35,32.46,"2018-03-15 12:41:00",21.81,"2018-03-15 01:14:00",100,"2018-03-15 19:42:00",49.29,"2018-03-15 07:24:00",13.22,"2018-03-15 06:24:00",12.81,"2018-03-15 04:03:00",55.48,40.83
"2018-03-17 00:00:00",36,32.23,"2018-03-16 14:11:00",21.74,"2018-03-16 03:28:00",100,"2018-03-16 00:04:00",52.55,"2018-03-16 07:48:00",13.24,"2018-03-16 06:20:00",12.79,"2018-03-16 05:42:00",55.83,41.19
"2018-03-18 00:00:00",37,32.36,"2018-03-17 12:16:00",22.21,"2018-03-17 23:27:00",94.6,"2018-03-17 23:11:00",50.39,"2018-03-17 11:08:00",13.23,"2018-03-17 06:26:00",12.79,"2018-03-17 05:17:00",56.09,41.19
"2018-03-19 00:00:00",38,32.02,"2018-03-18 12:07:00",21.6,"2018-03-18 02:02:00",98.3,"2018-03-18 20:41:00",54.28,"2018-03-18 07:20:00",13.23,"2018-03-18 06:18:00",12.78,"2018-03-18 04:49:00",57.17,40.66
"2018-03-20 00:00:00",39,32.82,"2018-03-19 12:23:00",21.23,"2018-03-19 05:12:00",100,"2018-03-19 20:14:00",54.02,"2018-03-19 12:24:00",13.25,"2018-03-19 06:24:00",12.78,"2018-03-19 04:17:00",56.34,43.7
"2018-03-21 00:00:00",40,32.06,"2018-03-20 14:18:00",21,"2018-03-20 03:52:00",100,"2018-03-20 01:12:00",56.48,"2018-03-20 14:18:00",13.26,"2018-03-20 06:27:00",12.77,"2018-03-20 05:20:00",59.08,41.48
"2018-03-22 00:00:00",41,31.64,"2018-03-21 11:10:00",21.75,"2018-03-21 03:01:00",100,"2018-03-21 12:45:00",56.54,"2018-03-21 23:57:00",13.23,"2018-03-21 06:27:00",12.77,"2018-03-21 04:16:00",59.39,41.13
"2018-03-23 00:00:00",42,32.63,"2018-03-22 13:19:00",22.66,"2018-03-22 22:54:00",91.7,"2018-03-22 23:00:00",24.36,"2018-03-22 11:37:00",13.21,"2018-03-22 06:33:00",12.78,"2018-03-22 05:41:00",56.36,40.16
"2018-03-24 00:00:00",43,32.63,"2018-03-23 11:53:00",22.33,"2018-03-23 23:16:00",98,"2018-03-23 23:15:00",33.64,"2018-03-23 03:36:00",13.21,"2018-03-23 06:13:00",12.79,"2018-03-23 03:30:00",56.1,42.3
"2018-03-25 00:00:00",44,32.06,"2018-03-24 11:20:00",21.34,"2018-03-24 05:39:00",100,"2018-03-24 01:20:00",54.35,"2018-03-24 11:12:00",13.24,"2018-03-24 06:27:00",12.77,"2018-03-24 04:26:00",54.47,40.65
"2018-03-26 00:00:00",45,31.28,"2018-03-25 11:34:00",21.58,"2018-03-25 03:04:00",98.6,"2018-03-25 23:32:00",56.26,"2018-03-25 11:27:00",13.24,"2018-03-25 06:33:00",12.78,"2018-03-25 05:26:00",55.42,41.17
"2018-03-27 00:00:00",46,32.73,"2018-03-26 11:49:00",21.38,"2018-03-26 03:17:00",100,"2018-03-26 03:18:00",41.98,"2018-03-26 07:00:00",13.25,"2018-03-26 06:18:00",12.77,"2018-03-26 05:28:00",55.89,40.76
"2018-03-28 00:00:00",47,32.7,"2018-03-27 15:36:00",22.43,"2018-03-27 00:01:00",89.7,"2018-03-27 20:24:00",37.87,"2018-03-27 07:13:00",13.22,"2018-03-27 06:19:00",12.77,"2018-03-27 05:26:00",58.8,45.07
"2018-03-29 00:00:00",48,33.01,"2018-03-28 11:52:00",21.8,"2018-03-28 23:13:00",90.8,"2018-03-28 22:58:00",47.88,"2018-03-28 11:28:00",13.22,"2018-03-28 06:22:00",12.77,"2018-03-28 03:01:00",56.77,42.59
"2018-03-30 00:00:00",49,34.08,"2018-03-29 11:52:00",22.19,"2018-03-29 23:49:00",88.2,"2018-03-30 00:00:00",45.6,"2018-03-29 11:54:00",13.23,"2018-03-29 06:16:00",12.77,"2018-03-29 04:38:00",56.32,42.3
"2018-03-31 00:00:00",50,31.96,"2018-03-30 14:57:00",22.05,"2018-03-30 01:44:00",96,"2018-03-30 23:21:00",52.42,"2018-03-30 11:21:00",13.23,"2018-03-30 06:12:00",12.76,"2018-03-30 04:41:00",55.28,41.72
"2018-04-01 00:00:00",51,32.61,"2018-03-31 12:01:00",21.42,"2018-03-31 23:36:00",96.4,"2018-03-31 19:13:00",45.83,"2018-03-31 08:21:00",13.22,"2018-03-31 06:15:00",12.77,"2018-03-31 04:53:00",55.28,41.08
